Date,Open,High,Low,Close,Volume,Ticker
2015-01-02,26.39593746405713,26.554532899502213,26.162011701799678,26.244779586791992,26480000,GOOGL
2015-01-05,26.125837680596216,26.167468351017355,25.659969304037432,25.74471664428711,41182000,GOOGL
2015-01-06,25.796260075707373,25.83144763477593,25.05533054976907,25.109352111816406,54456000,GOOGL
2015-01-07,25.322955391440964,25.349716612643217,24.961163720980398,25.035503387451172,46918000,GOOGL
2015-01-08,24.855102928147016,25.151970031325202,24.5334540464607,25.122730255126953,73054000,GOOGL
2015-01-09,25.185671138050665,25.206486470406286,24.713359714337837,24.815948486328125,42000000,GOOGL
2015-01-12,24.742600854209794,24.79414385487283,24.32976151581034,24.634559631347656,57138000,GOOGL
2015-01-13,24.90763776348392,25.206488103596488,24.64447220299611,24.869476318359375,60958000,GOOGL
2015-01-14,24.80108173678402,25.189636510615635,24.689075961116913,25.074159622192383,52800000,GOOGL
2015-01-15,25.220860710975504,25.263482045234877,24.8798843651474,24.979005813598633,51068000,GOOGL
2015-01-16,24.936382815574586,25.31799916670313,24.933408926318027,25.29867172241211,49658000,GOOGL
2015-01-20,25.413156414301586,25.553908534036548,25.244650515231655,25.272899627685547,46796000,GOOGL
2015-01-21,25.317501831447743,25.863164147556414,25.255551166824418,25.79080581665039,46356000,GOOGL
2015-01-22,25.920158060681533,26.70519671220756,25.86613839622553,26.628873825073242,56068000,GOOGL
2015-01-23,26.665054685544487,27.030810910604092,26.55205635090726,26.859331130981445,45966000,GOOGL
2015-01-26,26.837033598508064,26.837033598508064,26.36967730553859,26.600133895874023,30932000,GOOGL
2015-01-27,26.33646881268687,26.40486259510123,25.814100334107508,25.830455780029297,39148000,GOOGL
2015-01-28,26.019280996974253,26.05347788728196,25.392340528778753,25.396305084228516,35822000,GOOGL
2015-01-29,25.419601507834404,25.533095190201756,24.952740553930685,25.435956954956055,79018000,GOOGL
2015-01-30,25.721918180369666,26.91632698706166,25.681278179058026,26.641265869140625,121108000,GOOGL
2015-02-02,26.481186958707738,26.589230083829285,25.856724995545918,26.37611961364746,75378000,GOOGL
2015-02-03,26.26411088232547,26.636310245242328,26.108986536682703,26.430635452270508,47062000,GOOGL
2015-02-04,26.42270460713762,26.601618178119182,26.020768238843896,26.07379913330078,33896000,GOOGL
2015-02-05,26.164495035906885,26.301282607769842,26.051001356029268,26.2586612701416,33176000,GOOGL
2015-02-06,26.317142975083556,26.773594364727582,26.200180071467173,26.459381103515625,42938000,GOOGL
2015-02-09,26.31961608980211,26.459377533620344,26.145659647886607,26.231399536132812,30314000,GOOGL
2015-02-10,26.373639197387053,26.81224910728996,26.22594863435518,26.770618438720703,47430000,GOOGL
2015-02-11,26.749306478503332,26.859330923142902,26.564445144445028,26.66356658935547,38306000,GOOGL
2015-02-12,26.745840209154945,27.17602570165822,26.614009750502426,27.060550689697266,48590000,GOOGL
2015-02-13,27.134887673552218,27.384178233198636,27.08978778427378,27.315784454345703,47382000,GOOGL
2015-02-17,27.31578830143067,27.40697875902138,26.924259574302674,27.010990142822266,39174000,GOOGL
2015-02-18,26.95200809686272,27.13686942296569,26.740385550970554,26.89402198791504,31164000,GOOGL
2015-02-19,26.88510325966048,27.102673592025468,26.7998587039475,27.082353591918945,30834000,GOOGL
2015-02-20,27.138357648954596,27.138357648954596,26.66852474199983,26.851898193359375,38234000,GOOGL
2015-02-23,26.713127835421982,26.727995390219345,26.366203729003978,26.51488494873047,32906000,GOOGL
2015-02-24,26.343902371786925,26.73295250473786,26.316643925671908,26.695783615112305,28406000,GOOGL
2015-02-25,26.685373923290435,27.23698213426257,26.664061366781834,27.125967025756836,40836000,GOOGL
2015-02-26,27.04716683526549,27.76034252064496,27.014951277763025,27.718711853027344,54032000,GOOGL
2015-02-27,27.662212792492337,28.22076138546092,27.60670523355572,27.884244918823242,68328000,GOOGL
2015-03-02,28.100822191243786,28.546370514498932,27.910013083168202,28.4982967376709,50406000,GOOGL
2015-03-03,28.564215078954092,28.787237876778892,28.274286387074092,28.685144424438477,50526000,GOOGL
2015-03-04,28.594942768410792,28.82589467769312,28.3743985266814,28.66234588623047,37964000,GOOGL
2015-03-05,28.726282173505812,28.90370786981289,28.657393050549967,28.81598663330078,35918000,GOOGL
2015-03-06,28.844233160541986,28.88288994111933,28.351601675638612,28.393232345581055,37592000,GOOGL
2015-03-09,28.295102475933824,28.519611279138324,28.20242413181977,28.45270538330078,23478000,GOOGL
2015-03-10,28.1741706468977,28.23760920087033,27.74497588584259,27.746463775634766,40080000,GOOGL
2015-03-11,27.74398810435342,27.96106311808979,27.526417757496237,27.540294647216797,40524000,GOOGL
2015-03-12,27.678565596693094,27.845088257609532,27.532362935317188,27.8118839263916,35602000,GOOGL
2015-03-13,27.715737462308397,27.96998324250421,27.274649014316687,27.40697479248047,35428000,GOOGL
2015-03-16,27.601751715657258,27.93975420252426,27.3237166801049,27.835182189941406,36856000,GOOGL
2015-03-17,27.66915193887057,27.785619505199847,27.476858700786728,27.635452270507812,28892000,GOOGL
