Date,Open,High,Low,Close,Volume,Ticker
2015-01-02,39.59687091146637,40.24182495195273,39.4950367444948,39.681732177734375,27913900,MSFT
2015-01-05,39.35078370258014,39.656289557164065,39.24894949680251,39.31684112548828,39673900,MSFT
2015-01-06,39.359265426136794,39.673256065034195,38.64641962617343,38.739768981933594,36447900,MSFT
2015-01-07,39.01981528317781,39.427155293193834,38.60399043925027,39.231971740722656,29114100,MSFT
2015-01-08,39.673247493694205,40.52187310853258,39.647789761168994,40.38609313964844,29645200,MSFT
2015-01-09,40.40307829728728,40.581288953526226,39.80055470490753,40.046653747558594,23944200,MSFT
2015-01-12,40.241828461239585,40.34366587434169,39.34228730625495,39.545955657958984,23651900,MSFT
2015-01-13,39.85995890885959,40.65766607643976,39.08770948194394,39.3422966003418,35270600,MSFT
2015-01-14,39.00283432006836,39.24045170475696,38.71430146792861,39.00283432006836,29719600,MSFT
2015-01-15,39.2234893383959,39.359269350152,38.536101207927075,38.59550476074219,32750800,MSFT
2015-01-16,38.45124464447692,39.274409650709416,38.33243428698087,39.2404670715332,35695300,MSFT
2015-01-20,39.291368005753796,39.5883889336032,38.671871653039375,39.36774444580078,36161900,MSFT
2015-01-21,38.985860230151246,39.15558600339818,38.59549321775821,38.96888732910156,39081100,MSFT
2015-01-22,39.35927332153996,40.004227633145206,39.10468617846555,39.99574279785156,35898000,MSFT
2015-01-23,40.19091895119488,40.216376689620084,39.71568733133765,40.03816604614258,26211600,MSFT
2015-01-26,39.88541699040743,39.99573926298135,39.240462735803995,39.89390182495117,42525500,MSFT
2015-01-27,36.44847190259716,36.66062831269697,35.73562623517181,36.202369689941406,169164000,MSFT
2015-01-28,36.27027549636744,36.31270614755077,34.92944490566601,34.95490264892578,84507100,MSFT
2015-01-29,34.73425781997641,35.74412146027306,34.615450713735726,35.65077209472656,63585300,MSFT
2015-01-30,35.26039085661529,35.285851824373914,34.242039552008265,34.28447341918945,78004900,MSFT
2015-02-02,34.44572223654847,35.107649341636055,34.14021642273863,35.031272888183594,50352500,MSFT
2015-02-03,35.32829453359303,35.58288163747965,34.836089993795,35.302833557128906,52082400,MSFT
2015-02-04,35.59137299265969,35.82050239931485,35.099171599929235,35.50651168823242,41614800,MSFT
2015-02-05,35.8289711782085,36.18539234957177,35.523465467183115,36.02415466308594,36548200,MSFT
2015-02-06,36.219340786779014,36.31269012053227,35.769570255694866,35.990211486816406,34616600,MSFT
2015-02-09,35.84596546393525,36.27027848523668,35.82050448132618,35.94779968261719,31381100,MSFT
2015-02-10,36.270265247429705,36.29572298349584,35.795033671610106,36.15145492553711,29670700,MSFT
